id,class,abstract
2149,D,2005 New York City transit strike: New York City's Transport Workers Union Local 100 goes on strike for three days
2577,U,Ohio becomes the 25th state to sue the federal government over the Patient Protection and Affordable Care Act.
2872,U,A rare annular solar eclipse occurs
352,U,Mark Fidrych
2966,U,Hostess Brands
5474,U,The US and Taliban complete a prisoner exchange
2459,U,Japanese car company Toyota announces a fix for car accelerator problems and recalls cars in the United States.
691,U,CNN reporter Jeremy Levin is freed from captivity in Lebanon.
3158,D,Retired law enforcement officer Curtis Reeves fatally shoots Chad Oulson.
1320,U,DeAndre Yedlin
798,D,The United States Department of Justice declares incumbent Austrian president Kurt Waldheim an "undesirable alien".
3997,D,Following a series of small earthquakes
5266,U,After over 20 years
5373,U,Spirit Airlines shareholders vote to pull out of a merger agreement with Frontier Airlines. The airline announces its merger with JetBlue during the following day.
2593,U,Word Worm word game is released.
3136,U,A gunman identified as Karl Pierson opens fire at Arapahoe High School in Centennial
2510,D,Texting while driving bans go into effect in Iowa
2137,U,Vice presidential adviser Lewis "Scooter" Libby resigns after being charged with obstruction of justice
2367,D,President Obama signs executive orders to close the Guantanamo Bay detention camp within one year and to prohibit torture in terrorism interrogations.
5439,D,September 11
2670,U,In baseball
4876,U,The second impeachment trial of Donald Trump begins. He is acquitted four days later
2589,U,The House approves the extension of some parts of the controversial Patriot Act until December.
4802,U,Alabama Governor Kay Ivey announces that the statewide mask mandate and stay-at-home order will be extended until January 22.
2714,U,United States debt-ceiling crisis: The U.S. Federal Reserve announces it will keep interest rates at "exceptionally low levels" at least through mid-2013; but
5753,U,The Linac Coherent Light Source at the SLAC National Accelerator Laboratory is upgraded to LCLS-II and successfully demonstrates its first X-rays
4315,D,The United States Navy announces three suicides aboard the USS George H.W. Bush in one week.
2286,U,A former Boeing engineer and Defense Department analyst are arrested and charged with espionage for allegedly passing information to the Chinese government.
5370,U,In a reversal
4226,U,Louisiana bans abortions at six weeks of pregnancy
3882,D,General Council Daniel Nordby represents Florida Governor Rick Scott before the Florida Supreme Court in a landmark case.
4282,D,The first recorded death due to vaping is announced by the Centers for Disease Control and Prevention (CDC)
5509,U,Federal judge Carl J. Nichols sentences Steve Bannon to four months in jail and a fine of $6
1543,U,Walt Disney Pictures' 34th feature film
5081,D,Aubrey de Grey
2639,U,Oprah Winfrey hosts the finale of her syndicated talk show
361,U,Snow falls in Miami
4944,U,Indianapolis FedEx shooting: Nine people are killed
1298,U,Halston Sage
863,U,The Republican National Committee elects Lee Atwater as its chairman.
4298,U,Former Illinois and Florida nursing home owner Philip Esformes is convicted of $1.3 billion Medicare fraud and sentenced to 20 years in prison.
287,U,United States Congress passes the Metric Conversion Act which encourages
944,D,The Dallas Cowboys and the Minnesota Vikings complete the Herschel Walker trade.
1081,U,Gulf War: Operation Desert Storm begins with airstrikes against Iraq.
4658,U,Professional athletes begin boycotting their respective sports contests in response to the shooting of Jacob Blake.
4753,U,Nationwide COVID-19 cases surpass 12 million
5856,D,A shooting takes place on a 4 Train and at Mount Eden Avenue station in The Bronx
5358,U,Proposed acquisition of Twitter by Elon Musk: In a win for Twitter
3972,D,At least 12 states are reported to be suing the Trump administration over inclusion of a citizenship question on the 2020 census.
2690,U,The Dawn spacecraft arrives and settles into its one-year orbit around the minor planet 4 Vesta.
4384,D,Taylor Swift says talent agent Scooter Braun and her former label CEO Scott Borchetta are prohibiting her from performing some of her old songs.
726,D,Kalina
2385,D,Exactly 17 months after its all-time high of 14
5610,U,The syndicated Dilbert comic strip is dropped by many newspapers
3498,U,The World Health Organization releases a finding that processed meat such as sausage and ham can cause cancer.
569,U,World Series: The St. Louis Cardinals defeat the Milwaukee Brewers
3885,U,The latest National Climate Assessment
4552,D,COVID-19 pandemic: The U.S. records the most COVID-19 deaths in a single day to date
4066,D,In a landmark case
4304,U,33 inches of rain from Tropical Storm Imelda falls on Hamshire and other areas of southeastern Texas
474,D,U.S. President Jimmy Carter announces that the United States will boycott the 1980 Summer Olympics in Moscow.
5246,U,The Senate unanimously passes legislation to ban imports of oil
2581,D,The US House votes to repeal the Patient Protection and Affordable Care Act with a vote of 245–189.
1887,D,The United States Department of Justice announces it will pursue a criminal investigation of Enron.
4988,D,Michigan lifts several face mask requirements at outdoor gatherings and loosens them at indoor gatherings and businesses. Fully vaccinated people are allowed to not wear masks in public
4069,U,Nebraska executes Carey Dean Moore
1473,D,Oklahoma City bombing: 168 people
817,U,A small wildfire is started by a lightning strike in Montana
