id,class,abstract
0,U,The U.S.
1,U,A bomb explodes in the men's room at the U.S. Capitol; the Weather Underground organization claims responsibility.
2,U,Boxer Joe Frazier defeats Muhammad Ali in a 15-round unanimous decision at Madison Square Garden.
3,D,Congress discontinues funding for supersonic transport (SST); primary contractor was Boeing.
4,U,U.S. Army Lieutenant William Calley is found guilty of 22 murders in the My Lai massacre and sentenced to life in prison. After intervention from President Nixon
5,U,A Los Angeles jury recommends the death penalty for Charles Manson and three female followers.
6,U,The first Starbucks coffee shop opens
7,U,The 43rd Academy Awards ceremony
8,D,Swann v. Charlotte-Mecklenburg Board of Education: The Supreme Court of the United States rules unanimously that busing of students may be ordered to achieve racial desegregation.
9,D,National Public Radio goes live.
10,D,The Milwaukee Bucks win the championship of the National Basketball Association in just their third season
11,D,A Harris Poll claims that 60% of Americans are against the Vietnam War.
12,D,Anti-war activists attempt to disrupt government business in Washington
13,D,The US dollar floods the European currency markets and threatens especially the Deutsche Mark; the central banks of Austria
14,U,Massachusetts passes its Chapter 766 laws enacting Special Education.
15,U,Vietnam War: Vietnam Veterans for a Just Peace
16,U,The U.S. ends its trade embargo of China.
17,D,Representatives of Japan and the United States sign the Okinawa Reversion Agreement
18,D,Southwest Airlines
19,U,Madagascar accuses the U.S. of being connected to the plot to oust the current government; the U.S. recalls its ambassador.
20,D,Assassin Jerome A. Johnson shoots Joe Colombo in the head in the middle of an Italian-American rally
21,D,Lemon v. Kurtzman: The Supreme Court of the U.S. rules in a landmark case on the Establishment Clause.
22,U,New York Times Co. v. United States: The Supreme Court of the U.S. rules that the Pentagon Papers may be published
23,U,The Postal Reorganization Act goes into effect
24,D,The South Tower of the World Trade Center is topped out at 1
25,D,Apollo 15 (carrying astronauts David Scott
26,U,Construction begins on the Louisiana Superdome in New Orleans.
27,D,The USS Manatee (AO-58) spills 1
28,U,In Washington
29,D,Ernest Medina is cleared of all charges connected with the My Lai massacre.
30,U,Cardinal József Mindszenty
31,U,Unruly fans storm the field at Robert F. Kennedy Memorial Stadium during the final game for the second incarnation of the Washington Senators
32,U,Walt Disney World opens in Orlando
33,D,In New York City
34,U,U.S. President Richard Nixon nominates Lewis Franklin Powell Jr. and William H. Rehnquist to the U.S. Supreme Court.
35,U,Vietnam War: Vietnamization: The total number of American troops in Vietnam drops to a record low of 196
36,U,Vietnam War: Vietnamization: U.S. President Richard Nixon sets February 1
37,U,Arches National Park is established.
38,D,Intel releases the world's first commercially available microprocessor
39,U,During a severe thunderstorm over Washington
40,U,U.S. President Richard Nixon orders the 7th Fleet to move towards the Bay of Bengal in the Indian Ocean.
41,U,The John Sinclair Freedom Rally in support of the imprisoned activist features a performance by John Lennon at Crisler Arena in Ann Arbor
42,U,George Lucas founds Lucasfilm.
43,U,In Cleveland Ohio
44,U,KUAC-TV in Fairbanks
45,D,Rudolph The Red Nosed Reindeer airs for the last time on NBC
46,U,U.S. President Richard Nixon orders the development of a Space Shuttle program.
47,U,Howard Hughes speaks to the press by telephone to denounce Clifford Irving's hoax biography of him.
48,D,Japanese soldier Shoichi Yokoi is discovered in Guam; he had spent 28 years in the jungle and becomes the third-to-last Japanese soldier to surrender after World War II.
49,D,Shirley Chisholm
50,U,Two New York City Police Department officers
51,U,The last draft lottery is held
52,U,Mariner 9 sends pictures from Mars.
53,U,Phonorecords are granted U.S. federal copyright protection for the first time.
54,D,The California Supreme Court voids the state's death penalty
55,U,Activist Angela Davis is released from jail. A Caruthers
56,U,North Vietnamese negotiators walk out of the Paris Peace Talks to protest U.S. air raids.
57,U,The Pioneer 10 spacecraft is launched from Cape Kennedy
58,U,Sculpted figures of Jefferson Davis
59,U,Mohawk Airlines Flight 405 crashes into a house on Edgewood Avenue in Albany
60,D,Clifford Irving admits to a New York court that he had fabricated Howard Hughes' "autobiography".
61,U,The Godfather has its premiere at the Loew's State Theatre in New York City.
62,D,The first building of the Pruitt
63,U,The 92nd U.S. Congress votes to send the proposed Equal Rights Amendment to the states for ratification.
64,U,Gilchrest Road
65,U,The Wall Street Journal announced the Digital Watch was on sale.
66,U,Vietnam War veteran Richard McCoy Jr. hijacks a United Airlines jet and extorts $500
67,D,The U.S. and the Soviet Union join some 70 nations in signing the Biological Weapons Convention
68,D,The 44th Annual Academy Awards
69,U,The X-rated animated movie Fritz the Cat is released.
70,D,The first Boston Marathon in which women are officially allowed to compete.
71,D,A fire in the Sunshine Mine in northern Idaho kills 91.
72,D,U.S. President Richard Nixon orders the mining of Haiphong Harbor in Vietnam.
73,U,The Boston Bruins defeat the New York Rangers four games to two to win the Stanley Cup.
74,U,Okinawa is returned to Japan after 27 years of United States occupation.
75,U,Governor George C. Wallace of Alabama is shot and paralyzed by Arthur Bremer at a political rally in Laurel
76,U,The first financial derivatives exchange
77,U,A Red Army Faction bomb explodes in the Campbell Barracks of the U.S. Army Supreme European Command in Heidelberg
78,U,Richard Nixon and Leonid Brezhnev sign the SALT I treaty in Moscow
79,U,The Watergate first break-in
80,U,Wernher von Braun retires from NASA
81,D,The Black Hills flood kills 238 in South Dakota.
82,D,American Airlines Flight 96 during a domestic flight leg between Detroit
83,D,The first Popeyes opens in Arabi
84,D,Watergate scandal: U.S. President Richard Nixon and White House chief of staff H. R. Haldeman are taped talking about using the C.I.A. to obstruct the F.B.I.'s investigation into the Watergate break-ins.
85,D,President Nixon signs Title IX into law as part of the Education Amendments of 1972
86,D,Nolan Bushnell and Ted Dabney co-found Atari
87,D,U.S. President Richard Nixon announces that no new draftees will be sent to Vietnam.
88,D,Furman v. Georgia: The Supreme Court of the United States rules that the death penalty is unconstitutional
89,D,The Armstrong Air & Space Museum is dedicated to honor Neil Armstrong
90,U,Comedian George Carlin is arrested by Milwaukee
91,D,U.S. health officials admit that African Americans were used as guinea pigs in the Tuskegee Study of Untreated Syphilis in the Negro Male.
92,U,U.S. Senator Thomas Eagleton
93,U,Arthur Bremer is jailed for 63 years for shooting U.S. presidential primary candidate George Wallace.
94,U,A huge solar flare (one of the largest ever recorded) knocks out cable lines in U.S. It begins with the appearance of sunspots on August 2; an August 4 flare kicks off high levels of activity until August 10.
95,U,A brilliant
96,D,The Republican National Convention in Miami Beach
97,D,John Wojtowicz
98,U,World Chess Championship 1972 ("Match of the century"): Bobby Fischer defeats Boris Spassky in a chess match at Reykjavík
99,D,USS Kitty Hawk riot: En route to the Gulf of Tonkin
100,D,A plane carrying U.S. Congressman Hale Boggs of Louisiana and three other men vanishes in Alaska. The wreckage has never been found
101,D,Country singer Loretta Lynn makes history becoming the first female ever to win the Country Music Association's Entertainer of the Year Award. Her signature song
102,U,Golden Gate National Recreation Area
103,D,U.S. President Richard Nixon approves legislation to increase Social Security spending by US$5.3 billion.
