id,class
2149,U
2577,U
2872,U
352,U
2966,U
5474,U
2459,U
691,U
3158,U
1320,U
798,U
3997,U
5266,D
5373,U
2593,U
3136,U
2510,U
2137,U
2367,U
5439,D
2670,U
4876,U
2589,U
4802,U
2714,U
5753,U
4315,U
2286,U
5370,U
4226,U
3882,U
4282,U
5509,U
1543,U
5081,U
2639,U
361,D
4944,U
1298,U
863,U
4298,U
287,U
944,U
1081,U
4658,U
4753,U
5856,U
5358,U
3972,U
2690,U
4384,U
726,U
2385,U
5610,U
3498,U
569,U
3885,U
4552,U
4066,D
4304,U
474,U
5246,U
2581,U
1887,U
4988,U
4069,U
1473,U
817,U
4846,U
1908,U
2948,U
4995,U
4211,U
5629,U
3615,U
1322,U
601,U
3994,U
3531,U
4106,U
2430,U
4264,U
2181,U
3931,U
1620,U
3877,U
2605,U
4463,U
1577,U
2044,U
1475,U
4566,U
5883,U
57,U
2756,U
590,D
3849,U
4589,U
70,U
350,U
2617,U
656,U
2170,U
1229,U
3094,D
2702,U
1365,U
903,U
2050,U
5882,U
5692,U
902,U
732,U
2558,U
2204,U
3043,U
3373,U
204,U
2064,U
1610,D
1104,U
1246,U
5384,U
2452,U
5002,U
5486,U
136,U
1277,U
2484,U
4924,U
4651,U
4550,U
2735,U
4014,U
5071,U
5897,U
1066,U
704,U
374,U
4607,U
518,D
2272,D
533,U
5006,U
1087,U
3269,U
2410,U
5077,U
2616,U
4313,U
92,U
2625,U
1560,D
5776,U
292,U
1752,U
1337,U
1010,D
4381,U
4969,U
4380,U
1052,U
516,U
1963,U
2368,U
3529,U
5875,U
463,U
4824,U
4595,U
5479,U
3995,U
904,U
3935,D
2186,U
2260,U
4657,U
3311,U
2642,U
789,U
1786,U
291,U
4857,U
1598,U
50,U
1185,U
2042,U
4694,U
617,U
2,U
4401,U
4476,U
716,U
5170,U
1163,D
1740,U
1597,U
1303,U
5137,U
1297,D
2077,U
4536,U
751,U
3211,U
3868,U
3712,U
3187,U
4664,U
3744,U
2036,U
432,U
728,U
300,U
5958,U
1106,U
1664,U
342,U
22,U
5924,U
5198,D
4188,D
3268,U
5160,U
2381,U
1523,U
1244,U
5376,U
148,U
1448,U
5734,U
1084,U
3148,U
4378,U
822,U
3421,U
3263,U
4136,U
3062,U
4448,U
1793,U
5179,U
1866,U
3957,U
1903,U
2958,U
409,U
1642,U
4630,U
1722,U
1651,U
1092,U
175,U
1135,U
2881,D
4966,U
879,U
5665,U
5134,U
2066,U
468,U
1274,U
2099,U
3545,U
464,U
4255,U
1935,U
4175,U
3339,U
4690,U
4976,U
5184,U
2655,U
4636,U
1679,U
1578,U
573,U
1354,U
4399,U
1431,U
2138,U
2603,U
1806,U
19,U
1352,U
294,U
4297,U
5304,U
1627,U
1264,U
5088,U
290,D
849,U
5379,U
1420,U
5186,U
153,U
5241,U
4961,U
5550,D
5072,U
1555,U
3782,U
5253,U
555,D
3293,U
1608,D
4775,U
4926,U
1898,U
3156,U
25,D
4693,U
2316,U
5345,U
2519,U
865,U
1929,U
2814,U
3349,U
184,D
3674,U
3410,U
3061,U
4771,U
921,U
3514,D
4283,U
4046,U
4103,U
3950,U
2798,U
643,U
996,U
5564,U
1405,U
192,U
1761,U
3133,D
3570,U
842,U
2274,D
118,U
841,U
2598,U
2804,U
5773,U
4797,U
2185,U
298,D
4594,U
1161,U
2022,U
1269,U
5181,U
3385,U
5796,U
4937,U
920,U
4948,U
4875,U
3430,U
3452,U
5824,U
1894,U
1696,U
5729,U
493,D
4602,U
5361,U
1978,U
5422,U
1138,U
2974,U
873,U
4423,U
4343,U
2534,U
125,U
5097,U
3914,U
481,U
5235,U
281,U
146,U
1366,D
1385,U
5080,U
2320,U
5068,U
500,U
2869,D
3182,U
3097,U
4557,U
5273,U
5957,U
1572,U
3863,U
5622,U
4245,U
1950,U
2454,U
1996,U
2912,U
4202,U
4563,U
5866,U
829,U
5033,U
2451,U
338,U
859,U
3700,U
5797,U
5967,U
1619,U
724,U
1654,U
497,U
3138,U
5530,U
4139,U
4133,U
1433,U
5494,U
2770,D
5802,U
3313,U
106,U
3141,U
5105,U
1097,U
1462,U
4745,U
1031,U
710,D
4517,U
862,U
3099,U
343,D
5014,U
4546,U
4696,U
id,U
1472,U
4263,U
1193,U
742,U
2925,U
837,U
977,U
828,U
3631,U
5805,U
2755,U
5684,U
4889,U
2957,U
5919,U
3954,U
647,U
95,U
447,U
1672,U
3064,U
2813,U
5762,U
3913,U
1059,D
2142,U
2562,U
5463,U
3359,U
5552,U
4776,U
496,D
4561,U
3019,U
